commodity_code,location,data_source,report_type,active
SOYBEAN,Central Illinois,usda_ams,grain-cash-bids,TRUE
SOYBEAN,"Decatur, IL",usda_ams,grain-cash-bids,TRUE
SOYBEAN,"Chicago, IL",usda_ams,grain-cash-bids,TRUE
SOYBEAN,Iowa Interior,usda_ams,grain-cash-bids,TRUE
BIODIESEL,Gulf Coast,eia,biofuel-prices,TRUE
CORN,Central Illinois,usda_ams,grain-cash-bids,TRUE
CORN,"Decatur, IL",usda_ams,grain-cash-bids,TRUE
CORN,"Chicago, IL",usda_ams,grain-cash-bids,TRUE
CORN,Iowa Interior,usda_ams,grain-cash-bids,TRUE
SOYMEAL,"Decatur, IL",usda_ams,grain-cash-bids,TRUE
SOYOIL,Central Illinois,usda_ams,grain-cash-bids,TRUE
WHEAT,"Kansas City, MO",usda_ams,grain-cash-bids,TRUE
WHEAT,"Minneapolis, MN",usda_ams,grain-cash-bids,TRUE
ETHANOL,Midwest,eia,biofuel-prices,TRUE
