Task,Content Item,Task Type,Start Date,Due Date,Est. (min),Priority
Research SAF capacity data Q1 2026,SAF Watch Jan 5,Research,2-Jan,4-Jan,60,P1
Write SAF Watch draft,SAF Watch Jan 5,Writing,4-Jan,4-Jan,45,P1
Create SAF capacity chart,SAF Watch Jan 5,Chart Creation,4-Jan,4-Jan,45,P1
Edit and finalize SAF Watch,SAF Watch Jan 5,Editing,5-Jan,5-Jan,20,P1
Pull soy oil/ULSD spread data,Chart of Day Jan 6,Data Gathering,5-Jan,5-Jan,15,P1
Create spread chart,Chart of Day Jan 6,Chart Creation,5-Jan,5-Jan,25,P1
Write 2-bullet caption,Chart of Day Jan 6,Writing,6-Jan,6-Jan,10,P1
Gather CONAB/USDA Brazil data,Brazil Update Jan 7,Data Gathering,6-Jan,6-Jan,30,P1
Write Brazil Update,Brazil Update Jan 7,Writing,6-Jan,6-Jan,25,P1
ALERT Monitor USDA Export Sales,USDA Snapshot Jan 8,Data Gathering,8-Jan,8-Jan,5,P0
Rapid response: USDA analysis,USDA Snapshot Jan 8,Writing,8-Jan,8-Jan,30,P0
Research oilseed demand trends,Market Structure Jan 9,Research,6-Jan,8-Jan,90,P1
Write Market Structure draft,Market Structure Jan 9,Writing,8-Jan,8-Jan,60,P1
Create supporting charts (2),Market Structure Jan 9,Chart Creation,8-Jan,8-Jan,60,P1
Edit Market Structure,Market Structure Jan 9,Editing,9-Jan,9-Jan,30,P1
Pull basis/spread data,Microstructure Jan 10,Data Gathering,9-Jan,9-Jan,20,P2
Analyze basis signals,Microstructure Jan 10,Research,9-Jan,9-Jan,25,P2
Create basis chart,Microstructure Jan 10,Chart Creation,9-Jan,9-Jan,30,P2
Write interpretation,Microstructure Jan 10,Writing,10-Jan,10-Jan,30,P2
Review week's themes,Weekend Recap Jan 11,Research,10-Jan,10-Jan,30,P2
Select/create 3 charts,Weekend Recap Jan 11,Chart Creation,10-Jan,10-Jan,45,P2
Write 5-bullet summary,Weekend Recap Jan 11,Writing,11-Jan,11-Jan,20,P2
Schedule all Week 1 posts,All Week 1,Scheduling,4-Jan,5-Jan,30,P1
SETUP Create SAF Watch template,Template,Chart Creation,1-Jan,3-Jan,180,P0
SETUP Create Chart of Day template,Template,Chart Creation,1-Jan,3-Jan,120,P0
SETUP Set up Buffer account,Infrastructure,Scheduling,1-Jan,2-Jan,60,P0
SETUP Build USDA scenario templates,Template,Writing,1-Jan,3-Jan,180,P0
